site_no,dec_lat_va,dec_long_va,qw_begin_date,qw_end_date
1378671,40.74152778,-74.54902778,11/6/2019,8/31/2022
1378680,40.74469444,-74.5656111,6/20/2006,8/7/2007
1378685,40.74138889,-74.5511111,,
1378690,40.7336111,-74.54,4/15/1965,5/7/2009
1378700,40.71916667,-74.5308333,4/20/1962,9/23/1963
1378708,40.7083333,-74.54777778,,
1378710,40.7111111,-74.54,,
1378850,40.7136111,-74.5161111,4/20/1962,9/8/1965
1379000,40.68,-74.52888889,8/16/1923,5/7/2009
1379100,40.65416667,-74.5761111,,
1379102,40.65527778,-74.5747222,,
1379150,40.67416667,-74.57027778,4/22/1965,4/22/1965
1379160,40.66638889,-74.5541667,4/2/2018,8/12/2019
1379170,40.65638889,-74.5725,,
1379175,40.65027778,-74.5697222,,
1379180,40.65166667,-74.5461111,,
1379195,40.64805556,-74.5272222,,
1379200,40.6497222,-74.5241667,4/20/1962,9/13/2023
1379240,40.6511111,-74.5111111,,
1379260,40.65055556,-74.5016667,,
1379310,40.665,-74.4741667,,
1396015,40.55388889,-74.33777778,,
1396018,40.5675,-74.3233333,,
1396020,40.5725,-74.315,,
1396023,40.5772222,-74.3069444,,
1396024,40.57805556,-74.30638889,,
1396027,40.5783333,-74.30638889,,
1396028,40.57888889,-74.30527778,,
1396029,40.58027778,-74.3030556,,
1396030,40.5825,-74.3008333,12/12/2000,6/20/2008
1396050,40.54277778,-74.2769444,,
1397415,40.505,-74.7636111,11/14/2007,7/28/2011
1397420,40.50194444,-74.7425,,
1398065,40.4936111,-74.7533333,7/3/2007,4/29/2008
1398070,40.50944444,-74.7266667,12/9/1997,9/2/1998
1398090,40.5197222,-74.73527778,11/21/2002,8/9/2004
1398095,40.51777778,-74.72138889,10/31/1980,6/24/1981
1398100,40.52555556,-74.7058333,5/20/1980,12/14/2022
1398102,40.54694444,-74.69638889,6/7/1976,9/27/2023
1398107,40.5583333,-74.73,10/13/1978,7/3/2007
1398110,40.55305556,-74.7005556,6/7/1976,9/22/2009
1398480,40.72055556,-74.6386111,10/24/1963,10/24/1963
1398500,40.7083333,-74.6361111,8/16/1923,5/17/1982
1398550,40.69166667,-74.6469444,,
1398700,40.73277778,-74.6683333,10/24/1963,5/22/1967
1398850,40.6911111,-74.6475,10/24/1963,9/8/1965
1398860,40.6911111,-74.6469444,,
1398900,40.68277778,-74.6383333,11/17/1976,6/9/2011
1398950,40.6825,-74.63527778,10/24/1963,5/8/1978
1399000,40.6611111,-74.6455556,7/3/2000,7/3/2000
1399005,40.65444444,-74.66138889,,
1399040,40.69388889,-74.67888889,,
1399100,40.64944444,-74.6816667,10/24/1963,8/24/2000
1399120,40.6358333,-74.6819444,10/24/1963,10/7/2003
1399520,40.70666667,-74.7166667,10/26/2004,8/16/2006
1399525,40.69444444,-74.71777778,10/24/1978,1/21/1980
1399528,40.68916667,-74.7230556,,
1399545,40.66055556,-74.7291667,11/17/1976,8/24/2010
1399760,40.6222222,-74.70027778,2/27/1977,3/15/1978
1399780,40.6347222,-74.6866667,10/24/1963,8/1/2023
1399800,40.6158333,-74.6675,,
1399820,40.62388889,-74.6630556,10/24/1963,8/21/2008
1399822,40.61777778,-74.6658333,,
1399830,40.6,-74.67388889,10/4/1978,8/4/1981
1399900,40.5922222,-74.6830556,5/5/1959,8/10/2000
1400000,40.57055556,-74.6791667,8/29/1923,9/27/2023
1400005,40.5647222,-74.67777778,,
1400010,40.55666667,-74.6875,6/7/1976,6/13/1978
1400090,40.55444444,-74.6861111,,
1400100,40.5508333,-74.6819444,4/12/1977,10/5/1977
1400120,40.56444444,-74.6358333,5/5/1977,9/22/2022
1400300,40.5936111,-74.63027778,10/13/1978,12/18/1979
1400320,40.58277778,-74.62527778,,
1400350,40.5822222,-74.6180556,,
1400360,40.575,-74.6158333,8/14/2023,9/27/2023
1400395,40.5661111,-74.6047222,12/16/1997,9/10/1998
1400400,40.56138889,-74.6075,,
1400480,40.55,-74.5908333,2/12/1970,5/25/1971
1400500,40.55555556,-74.58277778,8/12/1923,9/27/2023
1400501,40.5536111,-74.5755556,,
1400510,40.54277778,-74.5672222,10/23/1967,6/11/1979
1400550,40.27055556,-74.46527778,,
