Site,Latitude,Longitude,Start Date,End Date
BB1,40.318355,-74.612535,6/18/1992,5/21/2021
BD1,40.419799,-74.639232,6/27/1992,4/20/2018
BD2,40.41563,-74.663751,7/17/1993,9/20/2020
BD3,40.394541,-74.700893,7/17/1993,1/20/2019
BD4,40.384418,-74.740618,7/17/1993,1/19/2020
CB1,40.326652,-74.602932,7/18/1992,12/20/2015
CL1,40.373941,-74.620018,7/18/1992,12/22/2019
CL2,40.346475,-74.62736,7/18/1992,11/19/2016
CL3,40.33097,-74.6542,7/18/1992,2/21/2021
DB1,40.333883,-74.611664,7/18/1992,2/21/2021
HA1,40.365994,-74.627397,7/18/1992,9/21/2019
HB23,40.370762,-74.619244,11/1/1996,2/20/2021
HL1,40.347989,-74.747183,7/15/1994,1/17/2016
HO1,40.34053,-74.74313,7/18/1992,2/21/2021
MR1,40.335422,-74.6242,7/18/1992,5/16/2021
MR2,40.3222157,-74.60839257,7/18/1992,11/22/2020
MR3,40.274368,-74.473367,7/17/1993,2/14/2020
PL1,40.270199,-74.522059,10/15/2000,12/19/2020
PR1,40.443659,-74.646608,1/19/2002,4/14/2019
SB1,40.33300003,-74.68198851,7/18/1992,8/15/2020
SB2,40.352824,-74.710443,6/5/1992,12/29/2020
SB4,40.33175,-74.77833,7/3/1992,10/17/2020
SB5,40.37422,-74.793866,6/16/1992,11/21/2020
SM1,40.472819,-74.570867,7/16/1994,3/21/2021
