SITENO,DATE,WATERTEMP,AIRTEMP,DOMGL,DOPS,PHFIELD,PHLAB,NO3,NN,PO4
1402000,8/14/1991,23.5,,9,106,7.1,7.3,1.59,1.6,0.18
1402000,10/29/1991,13.5,,5.9,56,7.1,7,2.78,2.8,0.84
1402000,10/29/1991,,,,,,7.1,,,
1402000,2/5/1992,2.5,,13,97,7.6,7.6,3.24,3.26,0.19
1402000,3/26/1992,7,,12.2,100,7.5,7.5,1.77,1.78,0.07
1402000,6/9/1992,21.5,,6.5,74,6.8,6.9,1.79,1.81,0.1
1402000,7/30/1992,22.5,,5.9,68,7.4,7.3,2.81,2.83,0.31
1402000,11/19/1992,7,,8.9,72,7.5,7.5,,,0.29
1402000,11/19/1992,,,,,,,,,
1402000,2/17/1993,2,,13.6,98,7.1,7,1.7,1.71,0.11
1402000,4/19/1993,14,,9.5,92,7.5,7,1.44,1.45,
1402000,6/10/1993,22,,5,57,7.3,7.1,2.86,2.91,
1402000,8/5/1993,25,,6.9,84,7.4,6.9,3.69,3.7,0.62
1402000,11/8/1993,,,,,,,,,
1402000,11/8/1993,7,,10.3,84,7,7.1,2.28,2.3,0.18
1402000,2/2/1994,0,,13.6,92,7.1,6.4,1.47,1.49,0.1
1402000,3/22/1994,4.1,,13,100,7.1,6.4,1.15,1.16,0.08
1402000,5/24/1994,18.5,,6.1,65,7.3,6.7,1.98,2.04,0.15
1402000,8/31/1994,21,,6.5,73,7.3,6.9,6.29,6.3,0.16
1402000,10/27/1994,11.5,,8.5,77,7.3,7.1,3.88,3.9,0.3
1402000,2/8/1995,0,,13.9,96,7.5,7.2,3.98,4,0.21
1402000,3/22/1995,11,,9.9,91,7.7,7.2,2.19,2.2,0.14
1402000,6/7/1995,22.5,,5.5,64,7.3,7.3,2.67,2.7,0.3
1402000,8/16/1995,25,,4.4,53,7,6.7,2.56,2.6,0.54
1402000,10/31/1995,12.5,,8.2,76,6.8,7,1.99,2,0.12
1402000,10/31/1995,,,,,,,,,
1402000,1/18/1996,1.5,,12.6,89,8,7.2,3.17,3.2,0.2
1402000,3/26/1996,10,,10.9,96,7.6,7.5,2.19,2.2,0.09
1402000,5/29/1996,16.5,,6.7,69,7.3,7.2,2.07,2.1,0.15
1402000,7/23/1996,21,,6.4,72,7.4,7.1,2.19,2.2,0.11
1402000,11/13/1996,7,,9.3,76,7.3,7.1,2.38,2.4,0.19
1402000,2/13/1997,2.5,,13,93,7,7.2,2.49,2.5,0.07
1402000,3/25/1997,7,,11.7,96,7.6,6.7,2.49,2.5,0.15
1402000,5/15/1997,16,,8.5,87,7.1,7.2,1.66,1.8,0.18
1402000,7/22/1997,23,,5.5,64,7.1,7,2.8,2.83,0.41
1402000,12/17/1997,3.5,,12.4,94,7.6,7.3,3.5,3.52,0.3
1402000,2/23/1998,6.5,,11,90,,7.1,2.16,2.17,0.13
1402000,6/4/1998,20,,5.7,63,7,7.3,2.52,2.55,0.24
1402000,6/11/1998,,,,,,,,,
1402000,6/22/1998,,,,,,,,,
1402000,7/7/1998,,,,,,,,,
1402000,7/23/1998,,,,,,,,,
1402000,9/15/1998,23,,5.3,62,7.7,6.9,2.72,2.75,0.55
1402000,11/18/1998,10,,7.3,64,7.4,7.2,4.23,4.25,0.47
1402000,2/10/1999,4,,12.1,92,7.2,6.9,2.49,2.5,0.12
1402000,5/4/1999,15,,7.8,77,7.4,7.4,2.39,2.41,0.23
1402000,9/14/1999,21.5,,5.9,66,7.4,7.3,3.29,3.32,0.48
1402000,12/9/1999,6,,10.4,83,8.2,7.2,2.83,2.84,0.21
