Site,Date,Air Temperature,Water Temperature,Nitrate,NIT_GL,Phosphate,PHOS_GL,pH,PH_GL,Turbidity,TURB_GL,Average Dissolved Oxygen
MR3,7/17/1993,22,24,0.4,=,0.2,<,7.5,=,99,<,5.2
MR3,7/31/1993,26,26,2.4,=,0.2,<,7,=,99,<,5
MR3,8/14/1993,24,25,2.4,=,0.4,=,7,=,99,<,5.8
MR3,8/28/1993,30,26,0.2,=,0.6,=,6,=,99,<,4.6
MR3,9/11/1993,16,22,0.8,=,0.2,<,7,=,99,>,6.2
MR3,9/25/1993,15,17,1,=,0.4,=,7,=,99,<,7.4
MR3,10/9/1993,18,16,1.6,=,0.4,=,7,=,99,<,7.5
MR3,10/24/1993,13,12,0.8,=,0.2,=,7.5,=,99,<,8.3
MR3,11/5/1993,12,10,0.8,=,0.2,<,7,=,99,<,8.6
MR3,11/20/1993,10,10,2.4,=,0.4,=,7,=,99,<,9.2
MR3,12/4/1993,7,7,0.8,=,0.2,<,6.5,=,99,<,10
MR3,12/18/1993,3,4,0.6,=,0.2,<,7,=,99,<,11.5
MR3,1/1/1994,3,2,1.6,=,0.4,=,6.5,=,99,<,13.2
MR3,1/15/1994,0,1,1.6,=,0.4,=,6.5,=,99,<,11.5
MR3,2/12/1994,2,1,1.6,=,0.4,=,6.5,=,99,<,11.7
MR3,2/26/1994,0,2,0.3,=,0.2,<,6,=,99,=,11.7
MR3,3/26/1994,8,6,0.3,=,0.2,<,6.5,=,99,<,10.7
MR3,4/9/1994,12,11,0.8,=,0.2,<,7,=,99,<,11.3
MR3,4/24/1994,22,16,0.8,=,0.3,=,7,=,99,<,10.6
MR3,5/7/1994,16,16,0.8,=,0.4,=,7,=,99,<,8.4
MR3,5/21/1994,17,16,0.8,=,0.3,=,7,=,99,<,8.4
MR3,6/4/1994,24,20,4,=,0.5,=,6.5,=,99,<,6.4
MR3,6/18/1994,26,24,3.2,=,0.6,=,6.5,=,99,>,4.4
MR3,7/2/1994,28,24,1.6,=,0.2,=,6,=,99,=,5.8
MR3,7/16/1994,28,26,3.2,=,0.8,=,6,=,99,=,5.4
MR3,7/30/1994,28,24,0.8,=,0.4,=,6.5,=,99,=,6.3
MR3,8/13/1994,28,23,4,=,0.8,=,7,=,99,=,6.1
MR3,8/27/1994,24,22,1.6,=,0.4,=,6.5,=,99,=,6.4
MR3,9/9/1994,18,20,3.2,=,0.4,=,7,=,99,<,6.45
MR3,9/24/1994,20,19,3.2,=,0.6,=,7,=,99,<,7.4
MR3,10/8/1994,14,14,4,=,1,>,7,=,99,<,7.6
MR3,11/5/1994,16,13,2.4,=,1,>,7,=,99,<,8.4
MR3,11/20/1994,10,10,2.4,=,1,>,7,=,99,<,9.6
MR3,12/3/1994,9,6,2.4,=,0.8,=,7,=,99,=,10
MR3,12/31/1994,4,3,1.6,=,1,>,6,=,99,=,12.1
MR3,1/14/1995,12,4,1.6,=,0.5,=,6.5,=,99,=,11.9
MR3,1/28/1995,0,2,1.2,=,0.4,=,6.5,=,99,=,11.6
MR3,2/11/1995,5,3,1.6,=,0.2,<,7,=,99,=,11
MR3,2/25/1995,3,4,2.4,=,0.2,<,7,=,99,=,12
MR3,3/11/1995,6,4,1.6,=,0.2,<,6.5,=,99,=,12.1
MR3,3/25/1995,8,8,3.2,=,0.6,=,6,=,99,=,11.15
MR3,5/6/1995,18,15,1.6,=,0.6,=,7,=,99,=,8.5
MR3,5/20/1995,18,16,3.2,=,0.6,=,7,=,99,=,7.15
MR3,6/3/1995,24,22,1.6,=,1,>,7.5,=,99,<,5.9
MR3,7/1/1995,22,23,0.8,=,1,>,7,=,99,=,6.2
MR3,7/16/1995,24,27,1.2,=,1,>,7,=,99,<,4.35
MR3,7/29/1995,28,28,0.4,=,1,>,7,=,99,<,4.8
MR3,8/12/1995,99,99,1.6,=,0.2,=,6.5,=,99,<,4.7
MR3,9/9/1995,99,99,1.6,=,0.6,=,7,=,99,<,6.1
MR3,9/23/1995,16,19,4,=,1,>,7,=,99,<,6.7
MR3,10/7/1995,18,20,4,=,0.4,=,7,=,99,<,6.9
MR3,10/21/1995,20,17,3.2,=,1,>,6.5,=,99,<,99
MR3,11/4/1995,7,13,99,=,0.2,<,6.5,=,99,<,99
MR3,12/2/1995,6,5,1.2,=,0.8,=,99,=,99,<,10.7
MR3,12/16/1995,2,2,3.2,=,0.8,=,7,=,99,=,12.3
MR3,12/30/1995,0,2,3.2,=,0.8,=,7,=,99,<,12.5
MR3,1/13/1996,0,1,3.2,=,0.4,=,6.5,=,99,=,12.6
MR3,1/27/1996,12,99,99,=,0.2,<,4.5,<,99,=,11.6
MR3,2/11/1996,8,2,1.6,=,0.2,<,6.5,=,99,<,11.6
MR3,3/23/1996,2,6,1.6,=,0.4,=,6.5,=,99,=,11.2
MR3,4/6/1996,10,8,99,=,0.6,=,6.5,=,99,<,9.5
MR3,5/5/1996,22,16,1.6,=,0.6,=,7,=,99,<,8.55
MR3,5/19/1996,19,18,1.6,=,1,>,6.5,=,99,<,7.6
MR3,8/10/1996,20,24,3.2,=,0.4,=,7,=,99,=,5.7
MR3,8/25/1996,22,24,2.4,=,0.3,=,7,=,99,=,6.3
